product_id,legacy_product_code,sku,product_name,brand,department,category,supplier_id,launch_date,discontinue_date,standard_cost,list_price,product_status
PRD-00014,LEG-100013,AUR-000014,Nova Audio Product 14,Orion,Electronics & Accessories,Audio,SUP-023,2023-05-30,,63.66,110.68,Active
PRD-00015,LEG-100014,AUR-000015,Aurelia Select Sports Product 15,Nova,Sport & Lifestyle,Sports Accessories,SUP-056,2022-06-30,,73.71,135.57,Active
PRD-00016,LEG-100015,AUR-000016,Pulse Chargers Product 16,Nova,Electronics & Accessories,Chargers,SUP-050,2021-09-21,,20.95,27.05,Active
PRD-00017,LEG-100016,AUR-000017,Orion Outdoor Product 17,Aurelia Select,Sport & Lifestyle,Outdoor,SUP-056,2022-05-31,,48.15,63.89,Active
PRD-00018,LEG-100017,AUR-000018,Solara Men's Product 18,Pulse,Fashion & Accessories,Men's Clothing,SUP-009,2023-12-09,,146.02,207.07,Active
PRD-00019,LEG-100018,AUR-000019,Nova Chargers Product 19,Orion,Electronics & Accessories,Chargers,SUP-065,2022-11-06,2023-08-30,41.42,65.26,Discontinued
PRD-00020,LEG-100019,AUR-000020,Solara Computer Product 20,Pulse,Electronics & Accessories,Computer Accessories,SUP-038,2020-02-13,,146.24,189.62,Active
PRD-00021,LEG-100020,AUR-000021,Vela Outdoor Product 21,Pulse,Sport & Lifestyle,Outdoor,SUP-049,2024-06-14,,52.77,93.71,Active
PRD-00022,LEG-100021,AUR-000022,Pulse Kitchen Product 22,Aurelia Select,Home & Living,Kitchen,SUP-039,2020-03-01,,29.53,56.51,Active
PRD-00023,LEG-100022,AUR-000023,Pulse Smart Product 23,Solara,Electronics & Accessories,Smart Devices,SUP-060,2024-09-12,,55.78,72.05,Active
PRD-00024,LEG-100023,AUR-000024,Vela Cosmetics Product 24,Mira,Beauty & Personal Care,Cosmetics,SUP-022,2020-11-13,,38.9,54.9,Active
PRD-00025,LEG-100024,AUR-000025,Solara Footwear Product 25,Nova,Fashion & Accessories,Footwear,SUP-031,2023-03-18,,139.24,195.01,Active
PRD-00026,LEG-100025,AUR-000026,Vela Smart Product 26,Luma,Electronics & Accessories,Smart Devices,SUP-004,2020-12-21,2022-11-20,46.68,75.95,Discontinued
PRD-00027,LEG-100026,AUR-000027,Mira Men's Product 27,Nova,Fashion & Accessories,Men's Clothing,SUP-059,2020-01-16,,58.17,87.48,Active
PRD-00028,LEG-100027,AUR-000028,Pulse Haircare Product 28,Mira,Beauty & Personal Care,Haircare,SUP-052,2026-05-07,,30.05,57.52,Active
PRD-00029,LEG-100028,AUR-000029,Aurelia Select Home Product 29,Nova,Home & Living,Home Décor,SUP-055,2024-05-11,,36.11,44.39,Active
PRD-00030,LEG-100029,AUR-000030,Mira Home Product 30,Aurelia Select,Home & Living,Home Décor,SUP-032,2020-09-18,,34.54,47.06,Active
PRD-00031,LEG-100030,AUR-000031,Luma Bags Product 31,Mira,Fashion & Accessories,Bags,SUP-068,2024-12-13,,25.95,52.02,Active
PRD-00032,LEG-100031,AUR-000032,Mira Sports Product 32,Pulse,Sport & Lifestyle,Sports Accessories,SUP-058,2023-12-18,,29.55,51.06,Active
PRD-00033,LEG-100032,AUR-000033,Mira Bedding Product 33,Orion,Home & Living,Bedding,SUP-032,2021-10-06,,19.55,26.85,Active
PRD-00034,LEG-100033,AUR-000034,Vela Computer Product 34,Orion,Electronics & Accessories,Computer Accessories,SUP-057,2021-07-21,2023-02-10,197.52,252.89,Discontinued
PRD-00035,LEG-100034,AUR-000035,Vela Footwear Product 35,Orion,Fashion & Accessories,Footwear,SUP-043,2023-11-27,,69.34,134.68,Active
PRD-00036,LEG-100035,AUR-000036,Luma Audio Product 36,Luma,Electronics & Accessories,Audio,SUP-030,2023-12-07,,45.98,95.95,Active
PRD-00037,LEG-100036,AUR-000037,Vela Haircare Product 37,Nova,Beauty & Personal Care,Haircare,SUP-054,2021-02-01,2023-03-04,49.72,63.96,Discontinued
PRD-00038,LEG-100037,AUR-000038,Mira Fragrance Product 38,Pulse,Beauty & Personal Care,Fragrance,SUP-008,2020-05-12,,64.23,80.27,Active
PRD-00039,LEG-100038,AUR-000039,Pulse Bedding Product 39,Aurelia Select,Home & Living,Bedding,SUP-049,2025-06-10,,110.93,164.5,Active
PRD-00040,LEG-100039,AUR-000040,Solara Skincare Product 40,Orion,Beauty & Personal Care,Skincare,SUP-050,2022-02-02,2023-09-09,54.6,108.1,Discontinued
PRD-00041,LEG-100040,AUR-000041,Mira Haircare Product 41,Vela,Beauty & Personal Care,Haircare,SUP-035,2021-03-11,,391.45,537.91,Active
PRD-00042,LEG-100041,AUR-000042,Aurelia Select Cosmetics Product 42,Pulse,Beauty & Personal Care,Cosmetics,SUP-044,2020-01-17,,71.53,89.21,Active
PRD-00043,LEG-100042,AUR-000043,Mira Haircare Product 43,Luma,Beauty & Personal Care,Haircare,SUP-069,2022-06-15,2023-11-08,25.06,48.98,Discontinued
PRD-00044,LEG-100043,AUR-000044,Aurelia Select Bags Product 44,Nova,Fashion & Accessories,Bags,SUP-055,2026-01-28,,16.1,31.7,Active
PRD-00045,LEG-100044,AUR-000045,Luma Bedding Product 45,Aurelia Select,Home & Living,Bedding,SUP-034,2023-10-22,,25.1,47.96,Active
PRD-00046,LEG-100045,AUR-000046,Vela Fragrance Product 46,Mira,Beauty & Personal Care,Fragrance,SUP-042,2025-02-13,,44.5,57.78,Active
PRD-00047,LEG-100046,AUR-000047,Orion Computer Product 47,Pulse,Electronics & Accessories,Computer Accessories,SUP-033,2025-06-23,,60.75,120.85,Active
PRD-00048,LEG-100047,AUR-000048,Aurelia Select Bags Product 48,Aurelia Select,Fashion & Accessories,Bags,SUP-045,2023-01-15,,61.78,85.64,Active
PRD-00049,LEG-100048,AUR-000049,Aurelia Select Furniture Product 49,Aurelia Select,Home & Living,Furniture,SUP-032,2023-12-21,,15.96,23.98,Active
PRD-00050,LEG-100049,AUR-000050,Luma Furniture Product 50,Vela,Home & Living,Furniture,SUP-017,2021-07-12,,99.95,143.03,Active
PRD-00051,LEG-100050,AUR-000051,Vela Skincare Product 51,Mira,Beauty & Personal Care,Skincare,SUP-033,2025-03-17,,26.13,36.79,Active
PRD-00052,LEG-100051,AUR-000052,Nova Smart Product 52,Luma,Electronics & Accessories,Smart Devices,SUP-040,2026-03-27,,183.57,262.81,Active
PRD-00053,LEG-100052,AUR-000053,Orion Women's Product 53,Pulse,Fashion & Accessories,Women's Clothing,SUP-051,2021-04-30,,185.07,319.9,Active
PRD-00054,LEG-100053,AUR-000054,Vela Furniture Product 54,Nova,Home & Living,Furniture,SUP-039,2025-04-14,,57.2,80.18,Active
PRD-00055,LEG-100054,AUR-000055,Aurelia Select Fitness Product 55,Solara,Sport & Lifestyle,Fitness,SUP-069,2023-04-22,,23.93,42.51,Active
PRD-00056,LEG-100055,AUR-000056,Nova Fragrance Product 56,Solara,Beauty & Personal Care,Fragrance,SUP-002,2025-08-27,,123.95,157.93,Active
PRD-00057,LEG-100056,AUR-000057,Nova Cosmetics Product 57,Pulse,Beauty & Personal Care,Cosmetics,SUP-047,2024-10-02,,91.06,192.23,Active
PRD-00058,LEG-100057,AUR-000058,Pulse Haircare Product 58,Luma,Beauty & Personal Care,Haircare,SUP-067,2020-11-25,,37.99,63.27,Active
PRD-00059,LEG-100058,AUR-000059,Mira Computer Product 59,Pulse,Electronics & Accessories,Computer Accessories,SUP-035,2020-08-04,,33.47,71.22,Active
PRD-00060,LEG-100059,AUR-000060,Nova Smart Product 60,Orion,Electronics & Accessories,Smart Devices,SUP-058,2021-08-31,,34.13,57.65,Active
PRD-00061,LEG-100060,AUR-000061,Pulse Bedding Product 61,Solara,Home & Living,Bedding,SUP-004,2023-02-16,,122.57,201.54,Active
PRD-00062,LEG-100061,AUR-000062,Luma Fragrance Product 62,Mira,Beauty & Personal Care,Fragrance,SUP-028,2023-01-23,,57.42,109.53,Active
PRD-00063,LEG-100062,AUR-000063,Solara Chargers Product 63,Orion,Electronics & Accessories,Chargers,SUP-036,2025-07-21,2026-04-25,12.88,27.09,Discontinued
PRD-00064,LEG-100063,AUR-000064,Vela Fitness Product 64,Nova,Sport & Lifestyle,Fitness,SUP-031,2024-10-15,,153.42,266.08,Active
PRD-00065,LEG-100064,AUR-000065,Vela Cosmetics Product 65,Mira,Beauty & Personal Care,Cosmetics,SUP-063,2022-10-01,,96.51,138.55,Active
PRD-00066,LEG-100065,AUR-000066,Nova Skincare Product 66,Orion,Beauty & Personal Care,Skincare,SUP-029,2025-03-23,,64.33,89.36,Active
PRD-00067,LEG-100066,AUR-000067,Orion Haircare Product 67,Solara,Beauty & Personal Care,Haircare,SUP-061,2022-05-24,,49.07,64.12,Active
PRD-00068,LEG-100067,AUR-000068,Pulse Sports Product 68,Solara,Sport & Lifestyle,Sports Accessories,SUP-046,2020-11-03,,26.02,38.37,Active
PRD-00069,LEG-100068,AUR-000069,Orion Fragrance Product 69,Orion,Beauty & Personal Care,Fragrance,SUP-030,2024-10-17,,30.7,57.79,Active
PRD-00070,LEG-100069,AUR-000070,Solara Men's Product 70,Nova,Fashion & Accessories,Men's Clothing,SUP-069,2020-01-12,,55.04,120.97,Active
PRD-00071,LEG-100070,AUR-000071,Vela Home Product 71,Mira,Home & Living,Home Décor,SUP-036,2024-09-18,,80.47,159.25,Active
PRD-00072,LEG-100071,AUR-000072,Nova Sports Product 72,Vela,Sport & Lifestyle,Sports Accessories,SUP-038,2020-03-18,2022-03-30,13.43,22.3,Discontinued
PRD-00073,LEG-100072,AUR-000073,Luma Kitchen Product 73,Orion,Home & Living,Kitchen,SUP-002,2022-11-01,,136.55,265.35,Active
PRD-00074,LEG-100073,AUR-000074,Orion Outdoor Product 74,Aurelia Select,Sport & Lifestyle,Outdoor,SUP-007,2021-12-09,,31.32,44.21,Active
PRD-00075,LEG-100074,AUR-000075,Luma Sports Product 75,Mira,Sport & Lifestyle,Sports Accessories,SUP-014,2022-07-27,,66.25,85.03,Active
PRD-00076,LEG-100075,AUR-000076,Mira Footwear Product 76,Mira,Fashion & Accessories,Footwear,SUP-057,2026-07-20,2028-07-14,39.24,76.89,Discontinued
PRD-00077,LEG-100076,AUR-000077,Aurelia Select Smart Product 77,Orion,Electronics & Accessories,Smart Devices,SUP-062,2026-07-25,2028-08-01,34.34,59.26,Discontinued
PRD-00078,LEG-100077,AUR-000078,Pulse Women's Product 78,Mira,Fashion & Accessories,Women's Clothing,SUP-010,2025-11-22,,79.13,108.26,Active
PRD-00079,LEG-100078,AUR-000079,Luma Fitness Product 79,Luma,Sport & Lifestyle,Fitness,SUP-039,2020-02-04,,62.66,83.92,Active
PRD-00080,LEG-100079,AUR-000080,Nova Men's Product 80,Pulse,Fashion & Accessories,Men's Clothing,SUP-029,2025-12-25,2028-04-25,45.33,55.41,Discontinued
PRD-00081,LEG-100080,AUR-000081,Mira Travel Product 81,Mira,Sport & Lifestyle,Travel,SUP-039,2023-12-25,,22.03,30.11,Active
PRD-00082,LEG-100081,AUR-000082,Orion Travel Product 82,Aurelia Select,Sport & Lifestyle,Travel,SUP-013,2026-05-12,,33.96,64.86,Active
PRD-00083,LEG-100082,AUR-000083,Orion Home Product 83,Nova,Home & Living,Home Décor,SUP-021,2026-02-04,2027-08-12,117.03,229.5,Discontinued
PRD-00084,LEG-100083,AUR-000084,Nova Home Product 84,Luma,Home & Living,Home Décor,SUP-001,2021-04-29,,140.82,239.95,Active
PRD-00085,LEG-100084,AUR-000085,Mira Cosmetics Product 85,Orion,Beauty & Personal Care,Cosmetics,SUP-005,2020-05-07,,36.01,65.7,Active
PRD-00086,LEG-100085,AUR-000086,Orion Kitchen Product 86,Mira,Home & Living,Kitchen,SUP-010,2021-04-08,,95.82,209.53,Active
PRD-00087,LEG-100086,AUR-000087,Vela Kitchen Product 87,Pulse,Home & Living,Kitchen,SUP-015,2020-01-11,,71.88,121.42,Active
PRD-00088,LEG-100087,AUR-000088,Luma Outdoor Product 88,Orion,Sport & Lifestyle,Outdoor,SUP-019,2020-04-11,2022-07-01,15.16,20.05,Discontinued
PRD-00089,LEG-100088,AUR-000089,Luma Women's Product 89,Orion,Fashion & Accessories,Women's Clothing,SUP-037,2021-03-16,,25.82,39.7,Active
PRD-00090,LEG-100089,AUR-000090,Mira Skincare Product 90,Orion,Beauty & Personal Care,Skincare,SUP-052,2022-12-07,,47.82,78.63,Active
PRD-00091,LEG-100090,AUR-000091,Mira Computer Product 91,Nova,Electronics & Accessories,Computer Accessories,SUP-006,2020-12-14,,42.95,70.86,Active
PRD-00092,LEG-100091,AUR-000092,Orion Fragrance Product 92,Aurelia Select,Beauty & Personal Care,Fragrance,SUP-012,2021-01-14,,43.29,91.72,Active
PRD-00093,LEG-100092,AUR-000093,Orion Furniture Product 93,Aurelia Select,Home & Living,Furniture,SUP-023,2020-12-22,2023-08-27,69.7,108.13,Discontinued
PRD-00094,LEG-100093,AUR-000094,Orion Cosmetics Product 94,Luma,Beauty & Personal Care,Cosmetics,SUP-056,2020-11-17,,61.08,86.36,Active
PRD-00095,LEG-100094,AUR-000095,Mira Skincare Product 95,Solara,Beauty & Personal Care,Skincare,SUP-053,2026-05-20,,68.93,117.8,Active
PRD-00096,LEG-100095,AUR-000096,Nova Chargers Product 96,Luma,Electronics & Accessories,Chargers,SUP-043,2022-09-15,,17.94,29.79,Active
PRD-00097,LEG-100096,AUR-000097,Orion Cosmetics Product 97,Pulse,Beauty & Personal Care,Cosmetics,SUP-005,2023-02-19,,39.6,59.54,Active
PRD-00098,LEG-100097,AUR-000098,Solara Skincare Product 98,Orion,Beauty & Personal Care,Skincare,SUP-042,2023-02-11,,27.84,45.59,Active
PRD-00099,LEG-100098,AUR-000099,Aurelia Select Bags Product 99,Mira,Fashion & Accessories,Bags,SUP-053,2024-01-19,,44.74,77.33,Active
PRD-00100,LEG-100099,AUR-000100,Solara Men's Product 100,Mira,Fashion & Accessories,Men's Clothing,SUP-057,2022-01-28,,114.97,174.1,Active
PRD-00101,LEG-100100,AUR-000101,Orion Men's Product 101,Luma,Fashion & Accessories,Men's Clothing,SUP-037,2025-04-23,,336.42,533.76,Active
PRD-00102,LEG-100101,AUR-000102,Nova Cosmetics Product 102,Aurelia Select,Beauty & Personal Care,Cosmetics,SUP-031,2024-11-03,,81.99,129.39,Active
PRD-00103,LEG-100102,AUR-000103,Aurelia Select Kitchen Product 103,Pulse,Home & Living,Kitchen,SUP-012,2023-05-31,,31.64,44.96,Active
PRD-00104,LEG-100103,AUR-000104,Mira Furniture Product 104,Nova,Home & Living,Furniture,SUP-020,2025-07-02,,83.83,105.66,Active
PRD-00105,LEG-100104,AUR-000105,Orion Fragrance Product 105,Pulse,Beauty & Personal Care,Fragrance,SUP-062,2023-09-18,,70.57,98.53,Active
PRD-00106,LEG-100105,AUR-000106,Mira Haircare Product 106,Luma,Beauty & Personal Care,Haircare,SUP-050,2022-03-12,2023-09-01,105.1,192.77,Discontinued
PRD-00107,LEG-100106,AUR-000107,Nova Home Product 107,Orion,Home & Living,Home Décor,SUP-054,2025-06-08,,19.17,28.1,Active
PRD-00108,LEG-100107,AUR-000108,Aurelia Select Chargers Product 108,Orion,Electronics & Accessories,Chargers,SUP-039,2023-05-04,,33.0,42.53,Active
PRD-00109,LEG-100108,AUR-000109,Luma Travel Product 109,Mira,Sport & Lifestyle,Travel,SUP-069,2022-05-25,,297.17,556.16,Active
PRD-00110,LEG-100109,AUR-000110,Solara Fragrance Product 110,Pulse,Beauty & Personal Care,Fragrance,SUP-059,2024-12-12,,75.61,135.26,Active
PRD-00111,LEG-100110,AUR-000111,Vela Smart Product 111,Pulse,Electronics & Accessories,Smart Devices,SUP-030,2022-07-19,,51.4,69.22,Active
PRD-00112,LEG-100111,AUR-000112,Solara Skincare Product 112,Mira,Beauty & Personal Care,Skincare,SUP-049,2022-09-29,,87.17,114.9,Active
PRD-00113,LEG-100112,AUR-000113,Mira Haircare Product 113,Aurelia Select,Beauty & Personal Care,Haircare,SUP-017,2025-06-30,,27.69,54.33,Active
PRD-00114,LEG-100113,AUR-000114,Nova Sports Product 114,Mira,Sport & Lifestyle,Sports Accessories,SUP-013,2025-07-16,2026-11-29,47.75,73.0,Discontinued
PRD-00115,LEG-100114,AUR-000115,Aurelia Select Travel Product 115,Luma,Sport & Lifestyle,Travel,SUP-053,2023-02-25,,59.86,90.77,Active
PRD-00116,LEG-100115,AUR-000116,Mira Furniture Product 116,Orion,Home & Living,Furniture,SUP-044,2023-01-31,2024-12-29,28.25,58.33,Discontinued
PRD-00117,LEG-100116,AUR-000117,Nova Travel Product 117,Solara,Sport & Lifestyle,Travel,SUP-069,2021-07-12,,85.3,133.58,Active
PRD-00118,LEG-100117,AUR-000118,Mira Fragrance Product 118,Aurelia Select,Beauty & Personal Care,Fragrance,SUP-009,2021-10-07,,10.22,12.95,Active
PRD-00119,LEG-100118,AUR-000119,Vela Kitchen Product 119,Nova,Home & Living,Kitchen,SUP-056,2021-08-07,,64.93,111.99,Active
PRD-00120,LEG-100119,AUR-000120,Mira Women's Product 120,Luma,Fashion & Accessories,Women's Clothing,SUP-039,2024-10-05,,48.84,61.17,Active
PRD-00121,LEG-100120,AUR-000121,Solara Women's Product 121,Aurelia Select,Fashion & Accessories,Women's Clothing,SUP-038,2022-05-29,,86.82,171.06,Active
PRD-00122,LEG-100121,AUR-000122,Pulse Chargers Product 122,Luma,Electronics & Accessories,Chargers,SUP-032,2022-06-06,,67.19,133.11,Active
PRD-00123,LEG-100122,AUR-000123,Luma Travel Product 123,Luma,Sport & Lifestyle,Travel,SUP-023,2023-04-26,,32.22,63.75,Active
PRD-00124,LEG-100123,AUR-000124,Vela Bags Product 124,Mira,Fashion & Accessories,Bags,SUP-019,2026-07-23,,29.31,43.58,Active
PRD-00125,LEG-100124,AUR-000125,Orion Bedding Product 125,Mira,Home & Living,Bedding,SUP-033,2026-01-10,,31.95,45.99,Active
PRD-00126,LEG-100125,AUR-000126,Orion Bags Product 126,Luma,Fashion & Accessories,Bags,SUP-010,2024-07-15,,48.83,102.39,Active
PRD-00127,LEG-100126,AUR-000127,Orion Fragrance Product 127,Pulse,Beauty & Personal Care,Fragrance,SUP-033,2022-12-11,,19.81,24.24,Active
PRD-00128,LEG-100127,AUR-000128,Vela Fragrance Product 128,Pulse,Beauty & Personal Care,Fragrance,SUP-062,2024-09-08,,29.08,49.67,Active
PRD-00129,LEG-100128,AUR-000129,Pulse Men's Product 129,Solara,Fashion & Accessories,Men's Clothing,SUP-038,2026-06-14,,130.79,242.98,Active
PRD-00130,LEG-100129,AUR-000130,Pulse Audio Product 130,Orion,Electronics & Accessories,Audio,SUP-002,2024-02-05,,10.11,21.8,Active
PRD-00131,LEG-100130,AUR-000131,Mira Fitness Product 131,Orion,Sport & Lifestyle,Fitness,SUP-030,2025-02-19,,90.02,163.98,Active
PRD-00132,LEG-100131,AUR-000132,Vela Sports Product 132,Vela,Sport & Lifestyle,Sports Accessories,SUP-033,2022-09-27,,30.38,52.56,Active
PRD-00133,LEG-100132,AUR-000133,Aurelia Select Furniture Product 133,Orion,Home & Living,Furniture,SUP-057,2026-05-16,,65.0,118.5,Active
PRD-00134,LEG-100133,AUR-000134,Luma Footwear Product 134,Nova,Fashion & Accessories,Footwear,SUP-038,2021-12-15,,40.58,52.42,Active
PRD-00135,LEG-100134,AUR-000135,Luma Computer Product 135,Vela,Electronics & Accessories,Computer Accessories,SUP-017,2020-04-08,,37.92,83.29,Active
PRD-00136,LEG-100135,AUR-000136,Orion Sports Product 136,Luma,Sport & Lifestyle,Sports Accessories,SUP-033,2020-06-26,2022-10-04,15.76,23.6,Discontinued
PRD-00137,LEG-100136,AUR-000137,Solara Fragrance Product 137,Nova,Beauty & Personal Care,Fragrance,SUP-060,2021-09-30,,35.19,67.25,Active
PRD-00138,LEG-100137,AUR-000138,Vela Men's Product 138,Pulse,Fashion & Accessories,Men's Clothing,SUP-047,2026-01-28,2027-05-25,74.71,109.54,Discontinued
PRD-00139,LEG-100138,AUR-000139,Aurelia Select Bags Product 139,Orion,Fashion & Accessories,Bags,SUP-069,2020-09-19,,64.37,115.76,Active
PRD-00140,LEG-100139,AUR-000140,Solara Bags Product 140,Orion,Fashion & Accessories,Bags,SUP-049,2022-08-02,2024-11-15,31.04,56.81,Discontinued
PRD-00141,LEG-100140,AUR-000141,Vela Audio Product 141,Mira,Electronics & Accessories,Audio,SUP-004,2021-07-14,2023-12-14,35.52,60.22,Discontinued
PRD-00142,LEG-100141,AUR-000142,Vela Sports Product 142,Nova,Sport & Lifestyle,Sports Accessories,SUP-060,2023-06-27,,65.91,115.75,Active
PRD-00143,LEG-100142,AUR-000143,Nova Computer Product 143,Luma,Electronics & Accessories,Computer Accessories,SUP-006,2020-03-12,,40.93,71.62,Active
PRD-00144,LEG-100143,AUR-000144,Mira Footwear Product 144,Nova,Fashion & Accessories,Footwear,SUP-013,2025-02-14,,10.09,14.59,Active
PRD-00145,LEG-100144,AUR-000145,Pulse Home Product 145,Mira,Home & Living,Home Décor,SUP-048,2025-08-10,,14.07,20.91,Active
PRD-00146,LEG-100145,AUR-000146,Luma Travel Product 146,Pulse,Sport & Lifestyle,Travel,SUP-013,2024-06-18,,47.8,63.68,Active
PRD-00147,LEG-100146,AUR-000147,Orion Cosmetics Product 147,Aurelia Select,Beauty & Personal Care,Cosmetics,SUP-048,2020-07-22,,19.18,36.8,Active
PRD-00148,LEG-100147,AUR-000148,Mira Bedding Product 148,Vela,Home & Living,Bedding,SUP-047,2023-07-06,,61.58,92.04,Active
PRD-00149,LEG-100148,AUR-000149,Solara Footwear Product 149,Aurelia Select,Fashion & Accessories,Footwear,SUP-051,2020-11-24,,16.26,24.09,Active
PRD-00150,LEG-100149,AUR-000150,Nova Smart Product 150,Mira,Electronics & Accessories,Smart Devices,SUP-012,2020-09-04,2021-12-27,199.03,258.39,Discontinued
PRD-00151,LEG-100150,AUR-000151,Aurelia Select Furniture Product 151,Solara,Home & Living,Furniture,SUP-032,2021-12-25,,82.36,101.24,Active
PRD-00152,LEG-100151,AUR-000152,Nova Home Product 152,Vela,Home & Living,Home Décor,SUP-028,2022-12-23,,127.58,192.01,Active
PRD-00153,LEG-100152,AUR-000153,Luma Kitchen Product 153,Aurelia Select,Home & Living,Kitchen,SUP-036,2026-06-11,,53.93,87.0,Active
PRD-00154,LEG-100153,AUR-000154,Orion Home Product 154,Luma,Home & Living,Home Décor,SUP-015,2021-11-13,,16.54,23.65,Active
PRD-00155,LEG-100154,AUR-000155,Aurelia Select Men's Product 155,Solara,Fashion & Accessories,Men's Clothing,SUP-031,2021-06-01,,37.87,69.44,Active
PRD-00156,LEG-100155,AUR-000156,Aurelia Select Sports Product 156,Luma,Sport & Lifestyle,Sports Accessories,SUP-034,2023-11-18,,33.12,45.33,Active
PRD-00157,LEG-100156,AUR-000157,Pulse Men's Product 157,Nova,Fashion & Accessories,Men's Clothing,SUP-009,2020-01-04,,69.72,140.43,Active
PRD-00158,LEG-100157,AUR-000158,Solara Cosmetics Product 158,Nova,Beauty & Personal Care,Cosmetics,SUP-058,2021-11-10,,71.62,135.14,Active
PRD-00159,LEG-100158,AUR-000159,Aurelia Select Outdoor Product 159,Orion,Sport & Lifestyle,Outdoor,SUP-059,2023-11-14,,84.57,187.11,Active
PRD-00160,LEG-100159,AUR-000160,Mira Women's Product 160,Pulse,Fashion & Accessories,Women's Clothing,SUP-055,2024-06-07,,38.45,72.74,Active
PRD-00161,LEG-100160,AUR-000161,Mira Bags Product 161,Nova,Fashion & Accessories,bags,SUP-011,2022-10-22,,94.97,121.4,Active
PRD-00162,LEG-100161,AUR-000162,Nova Smart Product 162,Luma,Electronics & Accessories,Smart Devices,SUP-036,2024-04-16,2026-11-21,68.02,103.1,Discontinued
PRD-00163,LEG-100162,AUR-000163,Pulse Sports Product 163,Orion,Sport & Lifestyle,Sports Accessories,SUP-059,2026-04-22,,30.61,38.03,Active
PRD-00164,LEG-100163,AUR-000164,Nova Travel Product 164,Nova,Sport & Lifestyle,Travel,SUP-028,2021-09-25,,27.81,42.68,Active
PRD-00165,LEG-100164,AUR-000165,Vela Cosmetics Product 165,Pulse,Beauty & Personal Care,Cosmetics,SUP-044,2023-05-23,,45.99,59.06,Active
PRD-00166,LEG-100165,AUR-000166,Pulse Cosmetics Product 166,Nova,Beauty & Personal Care,Cosmetics,SUP-041,2022-12-14,,113.8,202.61,Active
PRD-00167,LEG-100166,AUR-000167,Orion Fragrance Product 167,Solara,Beauty & Personal Care,Fragrance,SUP-020,2021-05-11,2022-07-02,46.76,70.22,Discontinued
PRD-00168,LEG-100167,AUR-000168,Nova Skincare Product 168,Nova,Beauty & Personal Care,Skincare,SUP-012,2020-09-25,,26.46,32.28,Active
PRD-00169,LEG-100168,AUR-000169,Solara Skincare Product 169,Luma,Beauty & Personal Care,Skincare,SUP-008,2022-09-11,,23.31,33.45,Active
PRD-00170,LEG-100169,AUR-000170,Nova Sports Product 170,Pulse,Sport & Lifestyle,Sports Accessories,SUP-046,2022-11-01,,26.69,36.89,Active
PRD-00171,LEG-100170,AUR-000171,Orion Skincare Product 171,Orion,Beauty & Personal Care,Skincare,SUP-046,2025-09-02,,11.06,17.22,Active
PRD-00172,LEG-100171,AUR-000172,Luma Men's Product 172,Mira,Fashion & Accessories,Men's Clothing,SUP-029,2024-06-27,2026-02-02,66.54,139.86,Discontinued
PRD-00173,LEG-100172,AUR-000173,Solara Footwear Product 173,Nova,Fashion & Accessories,Footwear,SUP-036,2023-01-10,2024-03-26,74.7,97.73,Discontinued
